nome,nascimento,antiguidade,
José Guilherme Di Rienzo Marrey,3/26/1972,18.0054794521,
Dirceu Brisolla Geraldini,4/2/1962,16.7863013699,
Tonia Yuka Kôroku,3/14/1971,16.7863013699,
Luiz Fernando Pinto Arcuri,3/19/1971,16.7863013699,
Luís Gustavo da Silva Pires,5/23/1972,16.7863013699,
Regis de Castilho Barbosa Filho,2/25/1973,16.7863013699,
Lúcia Caninéo Campanhã,6/12/1973,16.7863013699,
Carlos Eduardo Reis de Oliveira,1/21/1960,29.9726027397,
Antonio Fernando Scheibel Padula,8/9/1949,28.7643835616,
Sérgio Elorza Barbosa de Moraes,8/23/1954,28.7643835616,
Emerson Ueocka,9/1/1961,26.6191780822,
Bernardo Mendes Castelo Branco Sobrinho,9/22/1963,25.7808219178,
Jane Rute Nalini Anderson,10/25/1955,24.9835616438,
Cássio Modenesi Barbosa,8/17/1960,24.9835616438,
Ricardo Hoffmann,10/21/1962,24.9835616438,
Paulo Nimer Filho,3/16/1963,24.9835616438,
Luiz Antonio Alves Torrano,4/17/1953,24.1671232877,
Antonio Roberto Andolfato de Sousa,4/2/1958,24.1671232877,
Cyntia Andraus Carretta,3/16/1962,24.1671232877,
Luiz Fernando Cardoso Dal Poz,1/30/1965,24.1671232877,
Izabel Irlanda Castro Correia Araújo,9/3/1962,23.3479452055,
Eugênio Augusto Clementi Júnior,9/3/1962,23.3479452055,
André Carlos de Oliveira,5/19/1964,23.3479452055,
Guacy Sibille Leite,11/23/1964,23.3479452055,
Silvana Amneris Rôlo Pereira Borges,12/27/1960,22.9589041096,
Rogério Márcio Teixeira,5/8/1964,22.1150684932,
Jairo Sampaio Incane Filho,2/6/1958,21.5178082192,
Humberto Aparecido da Rocha,5/19/1963,21.5178082192,
Andréa Barreira Brandão,8/4/1966,21.5178082192,
Luiz Carlos Ditommaso,6/11/1958,20.4520547945,
Isabel Cristina Alonso Bezerra dos Santos,11/21/1961,20.4520547945,
Cristina Elena Varela Werlang,10/29/1962,20.4520547945,
Denise Indig Pinheiro,12/29/1963,20.4520547945,
Marcos Blank Gonçalves,12/23/1964,20.4520547945,
Enoque Cartaxo de Souza,5/25/1965,20.4520547945,
Heitor Febeliano dos Santos Costa,6/21/1966,20.4520547945,
Ana Lucia Siqueira de Figueiredo,2/24/1967,20.4520547945,
José Fernando Seifarth de Freitas,5/9/1968,20.4520547945,
André Luiz de Macedo,4/5/1969,20.4520547945,
Luciane Jabur Mouchaloite Figueiredo,4/12/1969,20.4520547945,
Mario Sérgio Leite,10/7/1964,19.7479452055,
Luciano Fernandes Galhanone,2/20/1966,19.7479452055,
Luiz Roberto Simões Dias,9/13/1967,19.7479452055,
Valéria Longobardi Maldonado,7/3/1968,19.7479452055,
Cynthia Torres Cristófaro,1/26/1970,19.7479452055,
Patrícia Suárez Pae Kim,3/16/1970,19.7479452055,
Ana Claudia dos Santos Sillas,4/28/1970,19.7479452055,
Fernanda de Almeida Pernambuco,5/18/1970,19.7479452055,
José Rodrigues Arimatéa,11/8/1961,18.9178082192,
Marcelo da Cunha Bergo,9/17/1964,18.9178082192,
Otávio Augusto Teixeira Santos,1/17/1969,18.9178082192,
Cláudia Maria Pereira Ravacci,3/5/1969,18.9178082192,
Rogério Alcazar,9/2/1969,18.9178082192,
Vivian Wipfli,2/21/1970,18.9178082192,
Fabiana Calil Canfour de Almeida,11/30/1970,18.9178082192,
Eduardo Isamu Sugino,7/27/1957,18.0054794521,
Ana Cristina Ribeiro Bonchristiano,2/14/1966,18.0054794521,
Luiz Fernando Parreira Milena,2/28/1966,18.0054794521,
Rodrigo Galvão Medina,9/15/1966,18.0054794521,
Artur Martinho de Oliveira Junior,7/9/1967,18.0054794521,
Eduardo Tobias de Aguiar Moeller,2/12/1969,18.0054794521,
Dimitrios Zarvos Varellis,6/12/1969,18.0054794521,
Paulo Roberto Fadigas Cesar,10/7/1969,18.0054794521,
Eliza Amelia Maia Santos de Toledo Piza,2/23/1970,18.0054794521,
Nidea Rita Coltro Sorci,5/27/1970,18.0054794521,
Fabíola Helena de Paula Roque Lucato,10/28/1971,18.0054794521,
Fábio Fresca,11/23/1971,18.0054794521,
Vera Lúcia Calviño de Campos,10/14/1965,16.7863013699,
Mônica Soares Machado Alves Ferreira,8/16/1968,16.7863013699,
José Loureiro Sobrinho,8/29/1969,16.7863013699,
Camila de Jesus Mello Gonçalves,11/8/1970,16.7863013699,
Fernanda Soares Fialdini,3/10/1971,16.7863013699,
Flávio Pinella Helaehil,7/9/1971,16.7863013699,
Gustavo Santini Teodoro,10/14/1972,16.7863013699,
Maria Cláudia Bedotti,2/5/1973,16.7863013699,
Swarai Cervone de Oliveira,8/18/1973,16.7863013699,
Aparecido Cesar Machado,2/15/1966,16.1095890411,
Luís Guilherme Vaz de Lima Cardinale,1/25/1969,16.1095890411,
Marcelo Tsuno,1/5/1970,16.1095890411,
César Augusto Fernandes,6/16/1970,16.1095890411,
Daniella Carla Russo Greco de Lemos,8/21/1971,16.1095890411,
Luiz Augusto Barrichello Neto,8/28/1971,16.1095890411,
Alexandre Batista Alves,4/9/1972,16.1095890411,
Marco Aurelio Stradiotto de Moraes Ribeiro Sampaio,4/3/1973,16.1095890411,
Cecilia Pinheiro da Fonseca Amendolara,9/27/1973,16.1095890411,
Daniel Issler,11/13/1973,16.1095890411,
Gustavo Antonio Pieroni Louzada,9/13/1974,16.1095890411,
Vanessa Aufiero da Rocha,10/31/1971,15.498630137,
Claudia Marina Maimone Spagnuolo Binns,10/28/1972,15.498630137,
Graciella Lorenzo Salzman,1/21/1974,15.498630137,
Carlos Aleksander Romano Batistic Goldman,2/13/1974,15.498630137,
Helmer Augusto Toqueton Amaral,1/23/1975,15.498630137,
Débora Faitarone,10/7/1971,15.1424657534,
Rodrigo Nogueira,9/1/1975,15.1424657534,
Durval José de Moraes Leme,11/24/1959,24.9835616438,
Olavo Zampol Júnior,5/7/1963,24.5534246575,
Walter Luiz Esteves de Azevedo,3/16/1965,24.5534246575,
Olavo de Oliveira Neto,7/11/1960,23.3479452055,
Zurich Oliva Costa Netto,5/3/1964,22.1150684932,
Daniela Bortoliero Ventrice,1/23/1968,22.1150684932,
Maria Eugênia Pires Zampol,9/13/1960,21.5178082192,
Elaine Cristina Storino Leoni,8/9/1964,21.5178082192,
Monica Lima Pereira,3/5/1966,21.5178082192,
Lincoln Augusto Casconi,1/29/1967,21.5178082192,
Jayter Cortez Junior,6/3/1966,20.4520547945,
Wagner Roby Gidaro,2/15/1968,20.4520547945,
Ana Carla Crescioni dos Santos Almeida Salles,1/29/1969,19.7479452055,
Edegar de Sousa Castro,2/21/1967,18.9178082192,
Maria Elizabeth de Oliveira Bortoloto,11/20/1967,18.0054794521,
Maria Gabriella Pavlópoulos Spaolonzi,12/9/1968,18.0054794521,
Teresa Cristina Cabral Santana Rodrigues dos Santos,7/23/1969,18.0054794521,
Zary de Oliveira Costa Filho,3/11/1955,16.7863013699,
Jorge Alberto Passos Rodrigues,8/30/1962,16.7863013699,
Marcelo Sergio,7/2/1966,16.7863013699,
Cristina Aparecida Faceira Medina Mogioni,7/18/1968,16.7863013699,
Rogério Sartori Astolphi,10/10/1968,16.7863013699,
Mauricio Tini Garcia,8/14/1971,16.7863013699,
Fernanda Galizia Noriega,10/9/1971,16.7863013699,
Gabriela Fragoso Calasso Costa,11/5/1971,16.7863013699,
Renato Guanaes Simões Thomsen,11/28/1972,16.7863013699,
Guilherme de Macedo Soares,6/13/1965,16.1095890411,
Carlos Alberto Maluf,3/20/1971,16.1095890411,
Carlos Alexandre Böttcher,6/11/1973,16.1095890411,
Rodrigo Marzola Colombini,12/6/1973,16.1095890411,
Fernando Eduardo Diegues Diniz,11/24/1963,15.498630137,
Helio Narvaez,9/4/1965,15.498630137,
Clávio Kenji Adati,3/3/1967,15.498630137,
Gioia Perini,6/17/1968,15.498630137,
Fabio D’Urso,4/3/1970,15.498630137,
Ana Lúcia Xavier Goldman,1/21/1971,15.498630137,
Fábio Henrique Prado de Toledo,2/16/1971,15.498630137,
Fernando de Oliveira Mello,6/9/1971,15.498630137,
Maria Domitila Prado Manssur Domingos,8/22/1971,15.498630137,
Silvia Toop Sena Rebouças,4/26/1972,15.498630137,
Roberto Brandão Galvão Filho,2/11/1973,15.498630137,
Thatyana Antonelli Marcelino Brabo,3/14/1973,15.498630137,
Jomar Juarez Amorim,5/15/1973,15.498630137,
Erika Diniz,8/27/1973,15.498630137,
Celso Maziteli Neto,12/29/1973,15.498630137,
Érico Di Prospero Gentil Leite,3/22/1974,15.498630137,
Edison Yassuo Takase,4/14/1963,15.1424657534,
Mario Sérgio Menezes,4/12/1968,15.1424657534,
Celso Lourenço Morgado,10/23/1969,15.1424657534,
Carlos Gutemberg de Santis Cunha,2/19/1970,15.1424657534,
Danielle Martins Cardoso,8/22/1970,15.1424657534,
Alexandre Betini,8/22/1971,15.1424657534,
Fábio Luís Bossler,11/23/1971,15.1424657534,
Fabio Varlese Hillal,11/16/1973,15.1424657534,
José Carlos de França Carvalho Neto,12/4/1973,15.1424657534,
André Luís Maciel Carneiro,2/27/1974,15.1424657534,
Fábio Aguiar Munhoz Soares,3/1/1974,15.1424657534,
Leandro Jorge Bittencourt Cano,9/18/1974,15.1424657534,
Ricardo José Rizkallah,12/14/1974,15.1424657534,
Cristiano de Castro Jarreta Coelho,1/1/1975,15.1424657534,
Rodrigo Pares Andreucci,4/24/1966,14.7534246575,
José Francisco Matos,7/11/1968,14.7534246575,
Mário Camargo Magano,4/21/1971,14.7534246575,
Marco César Vasconcelos e Souza,6/20/1971,14.7534246575,
Rafael Tocantins Maltez,9/19/1972,14.7534246575,
Rodrigo César Müller Valente,6/7/1973,14.7534246575,
Renato Siqueira De Pretto,11/2/1974,14.7534246575,
Márcia Blanes,1/20/1975,14.7534246575,
Tatiana Pereira Viana Santos,7/29/1975,14.7534246575,
Clovis Elias Thamê,6/23/1959,26.6191780822,
Paulo Marcos Vieira,8/24/1953,25.7808219178,
Adriana Albergueti Albano,6/4/1964,21.5178082192,
Heber Mendes Batista,12/8/1965,21.5178082192,
Silvia Estela Gigena,10/30/1951,20.4520547945,
Julieta Maria Passeri de Souza,8/25/1961,20.4520547945,
Lourenço Carmelo Tôrres,7/25/1968,19.7479452055,
José Roberto Bernardi Liberal,11/3/1968,19.7479452055,
André Luís Bicalho Buchignani,7/14/1969,18.9178082192,
Margot Chrysostomo Corrêa,3/8/1964,18.0054794521,
José Alonso Beltrame Júnior,5/5/1970,18.0054794521,
Roger Benites Pellicani,7/6/1970,18.0054794521,
Lúcia Helena Bocchi Faibicher,1/1/1971,18.0054794521,
Randolfo Ferraz de Campos,10/6/1971,18.0054794521,
Paulo Furtado de Oliveira Filho,1/30/1972,18.0054794521,
Alessandra Laperuta Nascimento Alves de Moura,7/11/1971,17.9671232877,
Luiz Antonio de Campos Júnior,11/9/1956,16.7863013699,
Mauro Iuji Fukumoto,7/31/1966,16.7863013699,
Cláudia Longobardi Campana,2/11/1962,16.1095890411,
Otávio Augusto de Oliveira Franco,5/2/1969,16.1095890411,
José Roberto Leme Alves de Oliveira,9/16/1971,16.1095890411,
Rodrigo Augusto de Oliveira,9/13/1974,16.1095890411,
Rogerio Bellentani Zavarize,1/4/1971,15.498630137,
Carolina Nabarro Munhoz Rossi,10/20/1972,15.498630137,
Eduarda Maria Romeiro Corrêa,1/4/1973,15.498630137,
Evandro Renato Pereira,4/10/1974,15.498630137,
Rilton Jose Domingues,6/27/1968,15.1424657534,
Jayme Garcia dos Santos Junior,9/28/1969,15.1424657534,
José Claudio Abrahão Rosa,3/19/1970,15.1424657534,
André Rossi,5/18/1970,15.1424657534,
José Eduardo Cordeiro Rocha,5/10/1971,15.1424657534,
Milton de Oliveira Sampaio Neto,6/13/1971,15.1424657534,
Alessandro Viana Vieira de Paula,11/30/1972,15.1424657534,
Beatriz de Souza Cabezas,12/7/1973,15.1424657534,
Alcides Lourenço Cabral Filho,12/30/1973,15.1424657534,
André Gonçalves Fernandes,7/13/1974,15.1424657534,
André Gustavo Cividanes Furlan,3/6/1975,15.1424657534,
Davi Marcio Prado Silva,5/5/1975,15.1424657534,
Claudia Maria Chamorro Reberte Campaña,5/15/1975,15.1424657534,
Fabiana Feher Recasens,6/28/1975,15.1424657534,
Ana Paula Theodosio de Carvalho,11/16/1966,14.7534246575,
Mário Rubens Assumpção Filho,11/13/1969,14.7534246575,
Marcos Douglas Veloso Balbino da Silva,10/29/1971,14.7534246575,
Maria Lucinda da Costa,7/27/1972,14.7534246575,
Douglas Augusto dos Santos,3/17/1975,14.7534246575,
Fernando Luiz Batalha Navajas,6/8/1975,14.7534246575,
Rodrigo Otávio Machado de Melo,11/24/1970,14.3232876712,
Rodrigo Soares,11/6/1975,14.3232876712,
Luiz Renato Bariani Peres,9/11/1975,13.2520547945,
Venilton Cavalcante Marrera,4/29/1962,24.5534246575,
Paulo Sérgio Romero Vicente Rodrigues,1/25/1964,24.5534246575,
Homero Maion,4/23/1956,23.3479452055,
Márcio Pelliciotti Violante,5/10/1964,23.3479452055,
Roberto Hiroshi Morisugi,10/8/1964,22.1150684932,
Paula Jacqueline Bredariol de Oliveira,5/1/1968,21.5178082192,
Carlos José Zulian,9/2/1964,20.4520547945,
Maria Cecilia Cesar Schiesari,6/26/1962,19.7479452055,
Angela Schmidt Lourenço Rodrigues,8/11/1967,19.7479452055,
Andrea Ribeiro Borges,7/10/1968,18.9178082192,
João Carlos Germano,5/15/1969,18.9178082192,
Marcia Mayumi Okoda Oshiro Bugan,11/22/1969,18.0054794521,
José Duarte Neto,3/28/1971,16.7863013699,
Regina de Oliveira Marques,7/10/1964,16.1095890411,
Analuísa Livorati Oliva De Biasi Pereira da Silva,8/2/1970,16.1095890411,
Fernanda Souza Pereira de Lima Carvalho,7/7/1972,16.1095890411,
Carina Bandeira Margarido Paes Leme,10/14/1972,16.1095890411,
Leandro de Paula Martins Constant,7/18/1973,16.1095890411,
Rodrigo Gorga Campos,11/26/1973,16.1095890411,
Erna Thecla Maria Hakvoort,11/11/1969,15.498630137,
Tatiana Teixeira de Oliveira,9/20/1972,15.498630137,
Juliana Nobre Correia,3/27/1973,15.498630137,
Adriana Porto Mendes,12/5/1974,15.498630137,
Antonio Marcelo Cunzolo Rimola,3/22/1971,15.1424657534,
Otavio Tioiti Tokuda,12/27/1973,15.1424657534,
Eliane de Oliveira,10/17/1966,14.7534246575,
Caio Cesar Melluso,12/16/1972,14.7534246575,
Marcelo de Moraes Sabbag,8/2/1973,14.7534246575,
Beatriz Afonso Pascoal Queiroz,7/31/1974,14.7534246575,
Renato Zanela Pandin e Cruz Gandini,1/16/1975,14.7534246575,
Lucas Tambor Bueno,6/4/1974,14.3232876712,
Paulo Alexandre Ayres de Camargo,10/30/1975,14.3232876712,
Renata Biagioni Belam,2/27/1976,14.3232876712,
Alexandre Zanetti Stauber,3/11/1973,13.2520547945,
Laurence Mattos,4/30/1968,20.4520547945,
Rogério de Toledo Pierri,8/20/1972,13.2520547945,
Cibele Frigi Rodrigues Rizzi,3/24/1974,13.2520547945,
Daniela Mie Murata Barrichello,4/1/1976,13.2520547945,
Maurício Brisque Neiva,5/7/1976,13.2520547945,
Gustavo Scaf de Molon,10/10/1976,13.2520547945,
Virgínia Maria Sampaio Truffi,12/3/1968,18.9178082192,
Sang Duk Kim,10/10/1971,15.498630137,
Fernanda de Carvalho Queiroz,8/26/1972,15.498630137,
Fábio Rogério Bojo Pellegrino,11/27/1973,15.498630137,
Rodrigo de Castro Carvalho,3/19/1966,15.1424657534,
Maria Clara Schmidt de Freitas,7/26/1966,18.0054794521,
Carla dos Santos Fullin Gomes,12/21/1971,16.1095890411,
Atis de Araujo Oliveira,6/23/1969,15.498630137,
Antonio Carlos Pinheiro de Freitas,3/6/1965,15.1424657534,
Vinicius de Toledo Piza Peluso,1/23/1971,15.1424657534,
Flávio Dassi Vianna,9/13/1971,15.1424657534,
Daniele Mendes de Melo,10/7/1972,15.1424657534,
Telma Berkelmans dos Santos,10/2/1973,15.1424657534,
Luciana Biagio Laquimia,11/30/1974,15.1424657534,
João Luciano Sales do Nascimento,1/23/1975,14.7534246575,
Alexandre Dalberto Barbosa,5/17/1971,14.3232876712,
Anelise Soares,6/18/1975,13.2520547945,
Daniel Fabretti,11/24/1975,13.2520547945,
Iberê de Castro Dias,12/18/1976,13.2520547945,
Antonio Manssur Filho,7/31/1970,10.6164383562,
Renata Rosa de Oliveira,12/26/1970,10.6164383562,
Gerdinaldo Quichaba Costa,1/18/1974,10.6164383562,
Ricardo Tseng Kuei Hsu,3/14/1977,10.6164383562,
Antonio Fernando Sanches Batagelo,9/20/1978,10.6164383562,
Fábio Henrique Falcone Garcia,7/2/1979,10.6164383562,
Vinicius Rodrigues Vieira,1/13/1965,24.1671232877,
Sergio Araújo Gomes,2/7/1965,22.9589041096,
Carlos Eduardo Lombardi Castilho,10/31/1960,21.5178082192,
José Wagner Parrão Molina,7/2/1965,20.4520547945,
Liza Livingston,9/30/1963,20.4383561644,
Violeta Miera Arriba,8/26/1968,19.7479452055,
Valeria Ferioli Lagrasta Luchiari,1/22/1969,19.6054794521,
Gisele de Castro Catapano,1/10/1969,18.9178082192,
Gláucia Cyrillo Pereira Micai,4/7/1971,18.0054794521,
Gilberto Ferreira da Rocha,11/13/1969,15.498630137,
Anna Paula de Oliveira Dala Dea Silveira,1/4/1972,15.498630137,
Renata Manzini,2/2/1972,15.1424657534,
Marcelo de Freitas Brito,7/22/1972,15.1424657534,
Michel Feres,6/9/1973,15.1424657534,
Adilson Araki Ribeiro,3/7/1974,15.1424657534,
Leonardo Mazzilli Marcondes,6/6/1974,15.1424657534,
Max Gouvea Gerth,11/18/1973,14.7534246575,
Carlo Mazza Britto Melfi,10/29/1973,13.2520547945,
Ana Lia Beall,9/5/1974,13.2520547945,
Thiago Elias Massad,7/29/1976,13.2520547945,
Cássio Henrique Dolce de Faria,11/25/1976,13.2520547945,
Marcos Augusto Barbosa dos Reis,7/29/1977,13.2520547945,
Adeilson Ferreira Negri,6/14/1975,10.6164383562,
Leonardo Caccavali Macedo,1/6/1976,10.6164383562,
Gilmar Ferraz Garmes,9/9/1962,25.7808219178,
Jorge Luiz Abdalla Buassi,11/26/1965,23.7616438356,
Julio Cezar dos Santos,12/30/1963,22.9589041096,
Ettore Geraldo Avolio,7/10/1958,20.4520547945,
Paulo Henrique Simardi Pagliuso,2/17/1961,20.4520547945,
Flávia de Almeida Montingelli Zanferdini,6/8/1965,20.4520547945,
Celina Kiyomi Toyoshima,10/8/1967,20.4520547945,
Sylvio Ribeiro de Souza Neto,5/26/1968,20.4520547945,
Jacira Jacinto da Silva,12/11/1957,19.7479452055,
Maurício Fossen,10/4/1968,19.7479452055,
Christina Agostini Spadoni,11/30/1968,19.7479452055,
Ana Claudia Madeira de Oliveira,3/31/1971,18.9178082192,
Wania Regina Gonçalves da Cunha,2/12/1959,18.0054794521,
Nelson Augusto Bernardes de Souza,1/4/1971,18.0054794521,
Sérgio Lazzareschi de Mesquita,3/26/1971,18.0054794521,
Elia Kinosita Bulman,12/13/1970,16.1095890411,
Stefânia Costa Amorim Requena,8/5/1974,16.1095890411,
Alexandra Fuchs de Araujo,8/28/1965,15.498630137,
Alessandra Regina Ramos Rodrigues Bisognin,12/1/1968,15.498630137,
Clovis Ricardo de Toledo Junior,4/29/1969,15.498630137,
Mônica de Cassia Thomaz Perez Reis Lobo,5/17/1969,15.498630137,
Samuel Karasin,9/26/1969,15.498630137,
Maria de Fatima Guimarães Pimentel de Lima,2/28/1972,15.498630137,
Trazibulo José Ferreira da Silva,2/14/1973,15.498630137,
Ariana Consani Brejão Degregório Gerônimo,8/20/1974,15.498630137,
Carla Themis Lagrotta Germano,9/2/1958,15.1424657534,
Márcio Lucio Falavigna Sauandag,12/31/1969,15.1424657534,
Márcia Helena Bosch,4/23/1971,15.1424657534,
André Augusto Salvador Bezerra,3/29/1972,15.1424657534,
Daniel Carnio Costa,10/5/1973,15.1424657534,
Laís Helena Bresser Lang Amaral,4/12/1974,15.1424657534,
Renato Acacio de Azevedo Borsanelli,7/28/1963,14.7534246575,
Cristina Ribeiro Leite Balbone Costa ,2/27/1975,14.7534246575,
Tânia Magalhães Avelar Moreira da Silveira,4/6/1975,14.7534246575,
Andrea de Abreu e Braga,9/4/1974,14.3232876712,
Cândido Alexandre Munhóz Pérez,3/2/1975,14.3232876712,
Guilherme Madeira Dezem,10/10/1975,14.3232876712,
Luciani Retto da Silva,12/31/1970,13.2520547945,
Alessandra Laskowski,8/26/1975,13.2520547945,
Emerson Norio Chinen,11/17/1975,13.2520547945,
Evandro Carlos de Oliveira,1/28/1977,10.6164383562,
Paulo de Tarsso da Silva Pinto,8/7/1974,9.5287671233,
Walter Ariette dos Santos,12/12/1962,24.1671232877,_
Ida Inês Del Cid,9/24/1957,22.9589041096,
Darci Lopes Beraldo,3/20/1968,20.4520547945,
Cláudia Thome Toni,7/5/1968,20.4520547945,
Sonia Nazaré Fernandes Fraga,12/30/1961,18.0054794521,
Varner Hugo Albernaz,5/16/1970,18.0054794521,
Lilianna Siepierski de Araújo Vilela,7/29/1971,18.0054794521,
Charles Bonemer Junior,3/25/1973,16.7863013699,
Augusto Antonini,6/25/1966,16.1095890411,
Flavia de Cassia Gonzales de Oliveira,9/11/1970,16.1095890411,
Elizabeth Kazuko Ashikawa,3/13/1971,16.1095890411,
Sueli Juarez Alonso,1/1/1958,15.498630137,
Felicia Jacob Valente,8/29/1961,15.498630137,
Celia Magali Milani Perini,11/4/1964,15.498630137,
Carolina Martins Clemencio Duprat Cardoso,3/30/1971,15.498630137,
Ana Paula de Oliveira Reis,10/5/1971,15.498630137,
Renata Coelho Okida,10/10/1971,15.498630137,
Ana Carolina Vaz Pacheco de Castro,12/4/1972,15.498630137,
Luciano Gonçalves Paes Leme,5/28/1974,15.498630137,
Irineu Francisco da Silva,10/22/1957,15.1424657534,
Margarete Pellizari,10/13/1963,15.1424657534,
Claudia Akemi Okoda Oshiro Kato,1/21/1971,15.1424657534,
Márcia Christina Teixeira Branco Mendonça,1/3/1972,15.1424657534,
Frederico Augusto Monteiro de Barros,12/9/1972,15.1424657534,
Luiz Guilherme Cursino de Moura Santos,7/12/1973,15.1424657534,
Gustavo Alexandre da Câmara Leal Belluzzo,1/17/1974,15.1424657534,
Cláudio Luís Pavão,3/4/1974,15.1424657534,
Maria Isabel Romero Rodrigues Henriques,11/15/1974,15.1424657534,
Fernanda Mendes Simões Colombini,7/19/1975,15.1424657534,
Eva Lôbo Chaib Dias Jorge,10/23/1970,14.7534246575,
Roberta Poppi Neri Quintas,12/29/1972,14.7534246575,
Sergio Hideo Okabayashi,8/2/1974,14.7534246575,
Luiz Antonio Carrer,12/23/1973,14.3232876712,
Maria Cristina de Almeida Bacarim,12/27/1975,14.3232876712,
Andreza Maria Arnoni,7/10/1976,14.3232876712,
André Mattos Soares,12/26/1971,13.2520547945,
Vanessa Ribeiro Mateus,5/20/1975,13.2520547945,
Mônica Ribeiro de Souza,3/16/1967,22.1150684932,
Tarcisa de Melo Silva Fernandes,8/14/1965,21.5178082192,
Aurelio Miguel Pena,10/15/1967,21.5178082192,
Sonia Cavalcante Pessoa,3/29/1965,20.4520547945,
José Walter Chacon Cardoso,4/15/1965,20.4520547945,
Edward Albert Lancelot Dodd-Canterbury Caterham Wickfield,3/10/1958,18.0054794521,
Alcêu Corrêa Junior,4/30/1970,18.0054794521,
José Eduardo da Costa,10/13/1968,16.7863013699,
Fernanda Melo de Campos Gurgel Panseri Ferreira,1/3/1972,16.1095890411,
Carina Roselino Biagi,1/9/1973,16.1095890411,
Juliana Marques Wendling,12/1/1967,15.498630137,
Andrea Leme Luchini,9/8/1970,15.498630137,
Denise Cavalcante Fortes Martins,10/8/1965,15.1424657534,
Marcelo Augusto de Moura,12/30/1968,15.1424657534,
Sinval Ribeiro de Souza,6/17/1970,15.1424657534,
Raquel Machado Carleial de Andrade,12/25/1971,15.1424657534,
Thiago Gonçalves Alvarez,11/10/1973,15.1424657534,
Marise Terra Pinto Bourgogne de Almeida,9/2/1974,15.1424657534,
Marcus Cunha Rodrigues,11/22/1971,14.7534246575,
Fabio de Souza Pimenta,3/24/1972,14.7534246575,
Milena Dias,9/27/1973,14.7534246575,
Kalid Hussein Hassan,5/10/1974,14.7534246575,
Cláudia Barrichello,12/12/1970,14.3232876712,
Fernando Henrique Pinto,12/27/1971,14.3232876712,
Laura Mota Lima de Oliveira Macedo,5/7/1976,14.3232876712,
Luiz Rogério Monteiro de Oliveira,11/8/1971,13.2520547945,
Andréa Galhardo Palma,11/7/1973,13.2520547945,
Caio Ferraz de Camargo Lopasso,1/25/1975,13.2520547945,
Fernando Antonio Tasso,7/16/1975,13.2520547945,
Renata Sanchez Guidugli Gusmão,7/18/1975,13.2520547945,
Adriana Tayano Fanton Furukawa,5/7/1976,13.2520547945,
Carolina de Figueiredo Dorlhiac Nogueira,9/21/1977,13.2520547945,
Joélis Fonseca,8/23/1971,10.6164383562,
Marcelo Vieira,5/22/1973,10.6164383562,
Rossana Luiza Mazzoni de Faria,2/16/1974,10.6164383562,
Marcos Alexandre Santos Ambrogi,11/18/1976,10.6164383562,
Fernando Martinho de Barros Penteado,4/20/1977,10.6164383562,
Bruno Machado Miano,9/8/1978,10.6164383562,
Fernando Augusto Andrade Conceição,6/5/1969,9.5287671233,
Herivelto Araujo Godoy,9/15/1961,19.7479452055,
Carlos Antonio da Costa,9/19/1967,19.7479452055,
Marco Aurelio Bortolin,6/21/1971,18.0054794521,
Adriana Menezes Bodini,3/19/1972,18.0054794521,
Richard Francisco Chequini,10/12/1969,16.1095890411,
Ana Paula Franchito Cypriano,7/30/1970,16.1095890411,
Marilia Carvalho de Castro Melo,8/4/1970,15.498630137,
José Roberto Lopes Fernandes,3/25/1972,15.498630137,
Luciana Bassi de Melo,11/9/1972,15.498630137,
Fernanda Teixeira Salviano da Rocha,8/20/1973,15.498630137,
Caren Cristina Fernandes de Oliveira,2/7/1972,15.1424657534,
Suzana Jorge de Mattia Ihara,4/4/1973,15.1424657534,
Ana Paula Teixeira Mafra,8/1/1973,15.1424657534,
Raul de Aguiar Ribeiro Filho,6/7/1958,14.7534246575,
Andrea Ferraz Musa,7/14/1971,14.7534246575,
Janaina Rodrigues Egea Uribe,5/21/1973,14.7534246575,
Alessander Marcondes França Ramos,7/23/1974,14.7534246575,
Valdir Ricardo Lima Pompêo Marinho,6/18/1975,14.7534246575,
Caio Moscariello Rodrigues,9/17/1975,14.3232876712,
Ana Paula Gomes Galvão Vieira de Moraes,6/26/1976,13.2520547945,
Rodrigo Chammes,10/25/1976,13.2520547945,
Leila França Carvalho Mussa,5/8/1975,10.6164383562,
Fabricio Henrique Canelas,12/3/1976,10.6164383562,
Hélio Villaça Furukawa,6/16/1979,10.6164383562,
Gilberto Vasconcelos Pereira Neto,9/17/1969,9.5287671233,
Rodrigo de Oliveira Carvalho,11/27/1976,9.5287671233,
Fernando de Oliveira Domingues Ladeira,9/10/1979,9.5287671233,
Bruno Paes Straforini,3/28/1980,9.5287671233,
Gislaine Maria de Oliveira Conrado,6/18/1971,15.498630137,
André Luís Bastos,10/17/1966,15.1424657534,
Lincoln Antonio Andrade de Moura,8/16/1973,15.1424657534,
Claudia Caputo Bevilacqua Vieira,9/25/1973,15.1424657534,
Claudia Ribeiro,10/6/1974,15.1424657534,
Luciana Caprioli Paiotti,11/5/1973,15.1150684932,
Glaucia Lacerda Mansutti,10/3/1956,14.7534246575,
Glaucio Roberto Brittes de Araujo,12/3/1973,14.7534246575,
Jarbas Luiz dos Santos,4/8/1974,14.7534246575,
Claudio Salvetti D’Angelo,8/7/1969,14.3232876712,
